year,gear,tmp,region,len,lentype,num
1995,1,1,1,235,TL,10
1995,1,1,1,268,SL,20
1995,1,1,1,241,SL,20
1995,1,1,1,257,SL,10
1995,1,1,1,260,FL,12
1995,1,1,1,260,FL,19
1995,1,1,1,231,SL,12
1995,1,1,1,286,SL,15
1995,1,1,1,213,TL,16
1995,1,1,1,211,FL,2
1995,1,1,1,226,FL,16
1995,1,1,1,241,FL,8
1995,1,1,1,193,FL,16
1995,1,1,1,216,TL,13
1995,1,1,1,229,SL,5
1995,1,1,1,220,FL,5
1995,1,1,1,273,TL,19
1995,1,1,1,200,FL,5
1995,1,1,1,233,SL,13
1995,1,1,1,239,TL,2
1995,1,1,1,248,SL,14
1995,1,1,1,254,TL,14
1995,1,1,1,264,TL,18
1995,1,1,1,291,SL,1
1995,1,1,1,278,TL,17
1995,1,1,1,256,FL,3
1995,1,1,1,235,TL,15
1995,1,1,1,222,SL,7
1995,1,1,1,208,FL,4
1995,1,1,1,213,SL,2
1995,1,1,1,268,FL,6
1995,1,1,1,260,TL,9
1995,1,1,1,292,SL,3
1995,1,1,1,226,FL,5
1995,1,1,1,250,SL,16
1995,1,1,1,190,TL,16
1995,1,1,1,287,TL,13
1995,1,1,1,236,FL,13
1995,1,1,1,237,TL,14
1995,1,1,1,244,FL,19
1995,1,1,1,263,FL,18
1995,1,1,1,248,SL,7
1995,1,1,1,255,SL,19
1995,1,1,1,279,TL,20
1995,1,1,1,243,FL,11
1995,1,1,1,209,SL,6
1995,1,1,1,245,TL,6
1995,1,1,1,176,TL,5
1995,1,1,2,236,SL,11
1995,1,1,2,302,TL,12
1995,1,1,2,342,SL,19
1995,1,1,2,290,FL,4
1995,1,1,2,260,FL,18
1995,1,1,2,303,FL,2
1995,1,1,2,273,SL,14
1995,1,1,2,259,SL,7
1995,1,1,2,323,FL,6
1995,1,1,2,279,TL,11
1995,1,1,2,299,FL,16
1995,1,1,2,275,TL,12
1995,1,1,2,272,FL,12
1995,1,1,2,285,SL,4
1995,1,1,2,331,FL,13
1995,1,1,2,274,SL,11
1995,1,1,2,294,TL,6
1995,1,1,2,339,FL,1
1995,1,1,2,306,FL,12
1995,1,1,2,362,FL,10
1995,1,1,2,355,SL,8
1995,1,1,2,311,TL,5
1995,1,1,2,269,FL,11
1995,1,1,2,292,FL,2
1995,1,1,2,346,TL,20
1995,1,1,2,309,SL,3
1995,1,1,2,307,FL,20
1995,1,1,2,290,TL,4
1995,1,1,2,288,TL,6
1995,1,1,2,317,FL,3
1995,1,1,2,246,SL,18
1995,1,1,2,355,SL,7
1995,1,1,2,335,TL,1
1995,1,1,2,292,TL,20
1995,1,1,2,300,TL,12
1995,1,1,2,330,SL,16
1995,1,1,2,241,TL,20
1995,1,1,2,274,FL,8
1995,1,1,2,250,SL,2
1995,1,1,2,289,SL,13
1995,1,1,2,307,TL,15
1995,1,1,2,307,SL,4
1995,1,1,2,332,FL,18
1995,1,1,2,323,FL,14
1995,1,1,2,280,TL,10
1995,1,1,2,259,TL,18
1995,1,1,2,340,TL,11
1995,1,1,2,313,SL,20
1995,1,1,2,283,TL,2
1995,1,1,2,355,SL,13
1995,1,1,2,285,FL,4
1995,1,1,2,255,SL,18
1995,1,1,2,307,TL,13
1995,1,1,2,298,SL,13
1995,1,1,2,311,SL,18
1995,1,1,2,343,TL,1
1995,1,1,2,317,TL,19
1995,1,1,2,308,SL,18
1995,1,1,2,279,FL,14
1995,1,1,2,289,SL,18
1995,1,1,2,258,SL,5
1995,1,1,2,280,FL,11
1995,1,1,2,313,FL,8
1995,1,1,2,333,SL,20
1995,1,1,2,301,FL,13
1995,1,1,2,270,FL,4
1995,1,1,2,306,FL,15
1995,1,1,2,302,FL,19
1995,1,1,2,261,TL,19
1995,1,1,2,357,TL,11
1995,1,1,2,317,SL,2
1995,1,1,2,314,TL,17
1995,1,1,2,286,TL,3
1995,1,1,2,340,FL,2
1995,1,1,2,295,FL,20
1995,1,1,2,330,TL,1
1995,1,1,2,301,SL,2
1995,1,1,2,341,FL,18
1995,1,1,2,361,TL,20
1995,1,1,2,364,FL,3
1995,1,1,2,294,FL,17
1995,1,1,2,351,FL,5
1995,1,1,2,297,SL,8
1995,1,1,2,313,TL,4
1995,1,1,2,351,FL,4
1995,1,1,2,305,FL,14
1995,1,1,2,322,TL,16
1995,1,1,2,263,FL,8
1995,1,1,2,267,FL,10
1995,1,1,2,350,TL,10
1995,1,1,2,306,SL,5
1995,1,1,2,312,SL,12
1995,1,1,2,303,FL,12
1995,1,1,2,326,FL,19
1995,1,1,2,265,SL,17
1995,1,1,2,302,SL,1
1995,1,1,2,349,FL,17
1995,1,1,2,271,SL,2
1995,1,1,2,331,TL,13
1995,1,1,2,344,SL,7
1995,1,1,2,294,SL,12
1995,1,1,2,235,SL,2
1995,1,1,2,370,TL,4
1995,1,1,2,312,FL,14
1995,1,1,2,322,TL,10
1995,1,1,2,293,SL,20
1995,1,1,2,300,TL,6
1995,1,1,2,257,SL,13
1995,1,1,2,292,FL,7
1995,1,1,2,258,FL,18
1995,1,1,2,264,FL,1
1995,1,1,2,222,FL,5
1995,1,1,2,310,FL,8
1995,1,1,2,302,SL,13
1995,1,1,2,315,SL,1
1995,1,1,2,306,FL,10
1995,1,1,2,291,SL,9
1995,1,1,2,286,FL,16
1995,1,1,2,331,SL,4
1995,1,1,2,314,TL,19
1995,1,1,2,308,FL,6
1995,1,1,2,280,TL,18
1995,1,1,2,314,TL,11
1995,1,1,2,302,TL,17
1995,1,1,2,275,FL,3
1995,1,1,2,293,TL,9
1995,1,1,2,271,SL,4
1995,1,1,2,312,SL,6
1995,1,1,2,308,FL,18
1995,1,1,2,280,FL,12
1995,1,1,2,317,FL,13
1995,1,1,2,331,FL,14
1995,1,1,2,281,SL,4
1995,1,1,2,284,FL,16
1995,1,1,2,305,SL,4
1995,1,1,2,325,SL,9
1995,1,1,2,245,FL,17
1995,1,1,2,335,SL,2
1995,1,1,2,344,TL,13
1995,1,1,2,320,FL,4
1995,1,1,2,249,TL,20
1995,1,1,2,281,TL,17
1995,1,1,2,336,TL,14
1995,1,1,2,360,FL,15
1995,1,1,2,272,FL,13
1995,1,1,2,305,TL,10
1995,1,1,2,308,FL,18
1995,1,1,2,314,FL,14
1995,1,1,2,295,FL,19
1995,1,1,2,328,SL,6
1995,1,1,2,312,SL,1
1995,1,1,2,258,FL,13
1995,1,1,2,280,FL,18
1995,1,1,2,320,TL,8
1995,1,1,2,254,FL,12
1995,1,1,2,274,SL,11
1995,1,1,2,309,SL,2
1995,1,1,2,304,FL,3
1995,1,1,2,300,FL,19
1995,1,1,2,279,TL,6
1995,1,1,2,244,TL,1
1995,1,1,2,320,FL,7
1995,1,1,2,312,TL,11
1995,1,1,2,330,SL,9
1995,1,1,2,381,SL,14
1995,1,1,2,283,TL,5
1995,1,1,2,257,FL,1
1995,1,1,2,283,TL,14
1995,1,1,2,343,FL,4
1995,1,1,2,298,FL,7
1995,1,1,2,244,TL,19
1995,1,1,2,314,FL,4
1995,1,1,2,326,TL,12
1995,1,1,2,317,SL,18
1995,1,1,2,310,TL,14
1995,1,1,2,288,FL,11
1995,1,1,2,288,TL,14
1995,1,1,2,337,FL,8
1995,1,1,2,308,TL,3
1995,1,1,2,238,FL,16
1995,1,1,2,305,FL,10
1995,1,1,2,351,SL,10
1995,1,1,2,319,TL,2
1995,1,1,2,273,SL,17
1995,1,1,2,321,TL,5
1995,1,1,2,307,FL,2
1995,1,1,2,291,FL,13
1995,1,1,2,256,SL,5
1995,1,1,2,350,FL,19
1995,1,1,2,257,FL,3
1995,1,1,2,316,FL,8
1995,1,1,2,281,FL,6
1995,1,1,2,300,SL,15
1995,1,1,2,302,TL,10
1995,1,1,2,252,FL,8
1995,1,1,2,323,FL,15
1995,1,1,2,308,SL,10
1995,1,1,2,286,SL,15
1995,1,1,2,294,SL,5
1995,1,1,2,312,SL,1
1995,1,1,2,336,SL,14
1995,1,1,2,277,FL,20
1995,1,1,2,302,SL,4
1995,1,1,2,308,SL,6
1995,1,1,2,312,FL,6
1995,1,1,2,303,TL,8
1995,1,1,2,309,TL,15
1995,1,1,2,337,TL,1
1995,1,1,2,284,SL,9
1995,1,1,2,289,FL,3
1995,1,1,2,257,TL,2
1995,1,1,2,274,SL,16
1995,1,1,2,317,FL,11
1995,1,1,2,349,TL,18
1995,1,1,2,294,SL,8
1995,1,1,2,279,SL,6
1995,1,1,2,297,FL,11
1995,1,1,2,275,FL,2
1995,1,1,2,299,TL,16
1995,1,1,2,242,FL,13
1995,1,1,2,335,FL,2
1995,1,1,2,314,FL,16
1995,1,1,2,314,TL,7
1995,1,1,2,320,TL,5
1995,1,1,2,291,SL,7
1995,1,1,2,302,SL,11
1995,1,1,2,269,FL,3
1995,1,1,2,345,SL,16
1995,1,1,2,272,FL,1
1995,1,1,2,308,FL,15
1995,1,1,2,288,TL,18
1995,1,1,2,300,SL,8
1995,1,1,2,270,SL,2
1995,1,1,2,329,FL,14
1995,1,1,2,267,SL,13
1995,1,1,2,333,SL,1
1995,1,1,2,313,FL,1
1995,1,1,2,288,SL,18
1995,1,1,2,260,TL,20
1995,1,1,2,295,TL,11
1995,1,1,2,331,TL,13
1995,1,1,2,294,TL,11
1995,1,1,2,302,FL,13
1995,1,1,2,306,TL,1
1995,1,1,2,316,TL,7
1995,1,1,2,362,TL,16
1995,1,1,2,282,TL,11
1995,1,1,2,314,FL,9
1995,1,1,2,327,FL,4
1995,1,1,2,290,TL,1
1995,2,1,1,368,FL,14
1995,2,1,1,349,TL,14
1995,2,1,1,364,SL,11
1995,2,1,1,380,FL,7
1995,2,1,1,362,SL,17
1995,2,1,1,404,FL,20
1995,2,1,1,375,SL,11
1995,2,1,1,330,SL,8
1995,2,1,1,335,FL,7
1995,2,1,1,386,FL,4
1995,2,1,1,365,SL,11
1995,2,1,1,376,TL,19
1995,2,1,1,371,TL,20
1995,2,1,1,297,TL,5
1995,2,1,1,341,SL,20
1995,2,1,1,340,TL,5
1995,2,1,1,393,SL,8
1995,2,1,1,367,SL,3
1995,2,1,1,388,FL,12
1995,2,1,1,309,TL,1
1995,2,1,1,338,SL,12
1995,2,1,1,336,TL,16
1995,2,1,1,336,FL,13
1995,2,1,1,381,SL,19
1995,2,1,1,275,SL,11
1995,2,1,1,273,SL,15
1995,2,1,1,340,SL,17
1995,2,1,1,352,SL,15
1995,2,1,1,314,TL,19
1995,2,1,1,352,TL,3
1995,2,1,1,306,FL,8
1995,2,1,1,352,FL,19
1995,2,1,1,329,FL,3
1995,2,1,1,300,TL,9
1995,2,1,1,364,TL,1
1995,2,1,1,359,SL,3
1995,2,1,1,431,SL,8
1995,2,1,1,368,SL,5
1995,2,1,1,324,FL,4
1995,2,1,1,338,FL,1
1995,2,1,1,318,FL,6
1995,2,1,1,339,TL,9
1995,2,1,1,321,FL,16
1995,2,1,1,353,TL,11
1995,2,1,1,330,FL,18
1995,2,1,1,377,SL,13
1995,2,1,1,384,FL,15
1995,2,1,1,335,SL,13
1995,2,1,1,360,FL,2
1995,2,1,1,393,SL,13
1995,2,1,1,315,FL,12
1995,2,1,1,365,FL,6
1995,2,1,1,304,SL,4
1995,2,1,1,409,FL,19
1995,2,1,1,393,FL,10
1995,2,1,1,361,TL,14
1995,2,1,1,359,FL,20
1995,2,1,1,356,FL,17
1995,2,1,1,336,SL,18
1995,2,1,1,353,SL,11
1995,2,1,1,363,TL,19
1995,2,1,1,374,FL,8
1995,2,1,1,421,SL,17
1995,2,1,1,385,FL,14
1995,2,1,1,370,TL,15
1995,2,1,1,286,SL,13
1995,2,1,1,374,SL,5
1995,2,1,1,342,FL,8
1995,2,1,1,322,TL,20
1995,2,1,1,339,FL,19
1995,2,1,1,394,TL,1
1995,2,1,1,328,FL,13
1995,2,1,1,320,SL,2
1995,2,1,1,339,FL,8
1995,2,1,1,339,SL,2
1995,2,1,1,359,FL,8
1995,2,1,1,348,TL,4
1995,2,1,1,365,TL,14
1995,2,1,1,314,TL,8
1995,2,1,1,336,TL,13
1995,2,1,1,346,SL,8
1995,2,1,1,289,SL,12
1995,2,1,1,335,SL,8
1995,2,1,1,340,TL,19
1995,2,1,1,359,SL,12
1995,2,1,1,361,TL,17
1995,2,1,1,365,FL,16
1995,2,1,1,386,TL,11
1995,2,1,1,382,FL,11
1995,2,1,1,294,TL,15
1995,2,1,1,368,FL,10
1995,2,1,1,369,FL,8
1995,2,1,1,346,FL,1
1995,2,1,1,418,FL,16
1995,2,1,1,344,FL,1
1995,2,1,1,358,SL,9
1995,2,1,1,325,TL,3
1995,2,1,1,349,FL,14
1995,2,1,1,315,TL,18
1995,2,1,1,334,FL,5
1995,2,1,1,314,FL,14
1995,2,1,1,315,SL,2
1995,2,1,1,334,TL,1
1995,2,1,1,325,SL,7
1995,2,1,1,359,SL,12
1995,2,1,1,367,TL,20
1995,2,1,1,361,TL,12
1995,2,1,1,394,TL,8
1995,2,1,1,340,TL,17
1995,2,1,1,414,SL,9
1995,2,1,1,321,TL,20
1995,2,1,1,393,FL,16
1995,2,1,1,393,FL,9
1995,2,1,1,323,SL,7
1995,2,1,1,348,TL,19
1995,2,1,1,347,FL,15
1995,2,1,1,373,FL,13
1995,2,1,1,361,TL,13
1995,2,1,1,347,TL,4
1995,2,1,1,355,SL,11
1995,2,1,1,342,SL,3
1995,2,1,1,343,FL,19
1995,2,1,1,269,SL,17
1995,2,1,1,346,SL,17
1995,2,1,1,340,TL,7
1995,2,1,1,352,TL,16
1995,2,1,1,332,FL,9
1995,2,1,1,330,FL,11
1995,2,1,1,362,TL,20
1995,2,1,1,351,TL,8
1995,2,1,1,383,FL,6
1995,2,1,1,354,TL,9
1995,2,1,1,344,TL,16
1995,2,1,1,382,SL,14
1995,2,1,1,290,TL,20
1995,2,1,1,333,TL,14
1995,2,1,1,331,SL,15
1995,2,1,1,338,SL,11
1995,2,1,1,348,FL,15
1995,2,1,1,324,FL,2
1995,2,1,1,352,FL,4
1995,2,1,1,373,SL,7
1995,2,1,1,378,TL,14
1995,2,1,1,337,TL,1
1995,2,1,1,331,TL,20
1995,2,1,1,313,FL,18
1995,2,1,1,389,TL,1
1995,2,1,1,388,SL,4
1995,2,1,1,368,FL,9
1995,2,1,1,328,SL,8
1995,2,1,1,385,TL,4
1995,2,1,1,319,TL,2
1995,2,1,1,363,SL,15
1995,2,1,1,321,TL,10
1995,2,1,1,374,TL,4
1995,2,1,1,395,SL,17
1995,2,1,1,350,SL,6
1995,2,1,1,409,SL,19
1995,2,1,1,353,TL,16
1995,2,1,1,374,FL,11
1995,2,1,1,369,TL,13
1995,2,1,1,337,TL,3
1995,2,1,1,265,TL,5
1995,2,1,1,377,TL,14
1995,2,1,1,331,FL,17
1995,2,1,1,369,SL,1
1995,2,1,1,347,TL,12
1995,2,1,1,385,FL,20
1995,2,1,1,339,FL,10
1995,2,1,1,365,FL,2
1995,2,1,1,361,SL,11
1995,2,1,1,351,SL,2
1995,2,1,1,373,SL,10
1995,2,1,1,390,FL,7
1995,2,1,1,291,TL,11
1995,2,1,1,376,TL,16
1995,2,1,1,276,FL,8
1995,2,1,1,344,SL,20
1995,2,1,1,347,FL,13
1995,2,1,1,319,TL,5
1995,2,1,1,336,FL,4
1995,2,1,1,342,TL,2
1995,2,1,1,418,TL,10
1995,2,1,1,365,TL,1
1995,2,1,1,358,TL,8
1995,2,1,1,393,SL,14
1995,2,1,1,328,SL,2
1995,2,1,1,395,FL,10
1995,2,1,1,340,FL,11
1995,2,1,1,373,SL,9
1995,2,1,1,285,SL,16
1995,2,1,1,360,FL,12
1995,2,1,1,309,FL,20
1995,2,1,1,301,SL,10
1995,2,1,1,344,FL,3
1995,2,1,1,357,SL,20
1995,2,1,1,354,SL,3
1995,2,1,1,387,SL,4
1995,2,1,1,320,FL,13
1995,2,1,1,420,FL,8
1995,2,1,1,354,FL,8
1995,2,1,1,344,FL,6
1995,2,1,1,362,SL,6
1995,2,1,1,344,FL,3
1995,2,1,1,293,FL,7
1995,2,1,1,309,SL,2
1995,2,1,1,305,TL,9
1995,2,1,1,304,TL,18
1995,2,1,1,330,SL,18
1995,2,1,1,271,TL,17
1995,2,1,1,344,SL,12
1995,2,1,1,331,SL,16
1995,2,1,1,353,FL,15
1995,2,1,1,347,FL,4
1995,2,1,1,359,FL,18
1995,2,1,1,367,TL,6
1995,2,1,1,354,SL,7
1995,2,1,1,353,FL,12
1995,2,1,1,346,TL,5
1995,2,1,1,374,SL,10
1995,2,1,1,286,FL,18
1995,2,1,1,375,TL,18
1995,2,1,1,339,FL,8
1995,2,1,1,397,FL,8
1995,2,1,1,314,FL,7
1995,2,1,1,363,FL,9
1995,2,1,1,343,FL,4
1995,2,1,1,336,SL,19
1995,2,1,1,363,SL,7
1995,2,1,1,359,SL,16
1995,2,1,1,401,FL,14
1995,2,1,1,303,SL,7
1995,2,1,1,372,FL,9
1995,2,1,1,384,TL,16
1995,2,1,1,387,FL,1
1995,2,1,1,312,SL,1
1995,2,1,1,337,FL,8
1995,2,1,1,382,TL,18
1995,2,1,1,329,TL,16
1995,2,1,1,359,FL,11
1995,2,1,1,330,TL,3
1995,2,1,1,358,TL,1
1995,2,1,1,331,SL,17
1995,2,1,1,407,TL,2
1995,2,1,1,350,TL,15
1995,2,1,1,389,TL,13
1995,2,1,1,309,FL,15
1995,2,1,1,429,FL,16
1995,2,1,1,253,SL,10
1995,2,1,1,349,SL,20
1995,2,1,2,352,FL,16
1995,2,1,2,386,SL,2
1995,2,1,2,435,SL,17
1995,2,1,2,375,TL,9
1995,2,1,2,410,FL,5
1995,2,1,2,421,SL,13
1995,2,1,2,431,SL,11
1995,2,1,2,367,SL,14
1995,2,1,2,389,TL,14
1995,2,1,2,397,SL,4
1995,2,1,2,373,TL,2
1995,2,1,2,456,FL,12
1995,2,1,2,418,SL,1
1995,2,1,2,395,FL,11
1995,2,1,2,403,TL,7
1995,2,1,2,396,FL,8
1995,2,1,2,433,SL,20
1995,2,1,2,369,TL,10
1995,2,1,2,380,SL,12
1995,2,1,2,437,TL,12
1995,2,1,2,384,TL,11
1995,2,1,2,377,FL,2
1995,2,1,2,358,FL,1
1995,2,1,2,373,SL,8
1995,2,1,2,448,FL,10
1995,2,1,2,378,FL,16
1995,2,1,2,345,SL,19
1995,2,1,2,435,FL,5
1995,2,1,2,393,TL,8
1995,2,1,2,385,FL,7
1995,2,1,2,367,FL,13
1995,2,1,2,358,TL,16
1995,2,1,2,408,FL,20
1995,2,1,2,370,TL,2
1995,2,1,2,358,SL,14
1995,2,1,2,408,SL,8
1995,2,1,2,427,TL,16
1995,2,1,2,368,FL,7
1995,2,1,2,353,SL,10
1995,2,1,2,343,SL,15
1995,2,1,2,405,SL,12
1995,2,1,2,437,SL,3
1995,2,1,2,382,TL,15
1995,2,1,2,372,TL,19
1995,2,1,2,433,SL,10
1995,2,1,2,451,FL,1
1995,2,1,2,376,TL,12
1995,2,1,2,397,TL,8
1995,2,1,2,393,FL,10
1995,2,1,2,415,SL,1
1995,2,1,2,407,SL,6
1995,2,1,2,416,TL,18
1995,2,1,2,433,SL,20
1995,2,1,2,429,TL,7
1995,2,1,2,411,TL,16
1995,2,1,2,410,SL,3
1995,2,1,2,409,SL,6
1995,2,1,2,363,TL,18
1995,2,1,2,397,FL,9
1995,2,1,2,420,FL,16
1995,2,1,2,408,FL,7
1995,2,1,2,426,FL,6
1995,2,1,2,380,TL,9
1995,2,1,2,439,FL,12
1995,2,1,2,370,FL,3
1995,2,1,2,379,TL,8
1995,2,1,2,399,FL,12
1995,2,1,2,458,SL,16
1995,2,1,2,344,TL,13
1995,2,1,2,400,FL,13
1995,2,1,2,418,TL,20
1995,2,1,2,395,TL,11
1995,2,1,2,380,SL,16
1995,2,1,2,394,FL,16
1995,2,1,2,431,TL,18
1995,2,1,2,403,TL,18
1995,2,1,2,427,FL,6
1995,2,1,2,406,TL,20
1995,2,1,2,382,FL,6
1995,2,1,2,391,TL,12
1995,2,1,2,410,TL,6
1995,2,1,2,433,SL,10
1995,2,1,2,390,FL,2
1995,2,1,2,449,TL,11
1995,2,1,2,422,FL,4
1995,2,1,2,355,FL,15
1995,2,1,2,414,TL,19
1995,2,1,2,394,SL,14
1995,2,1,2,424,FL,19
1995,2,1,2,348,FL,8
1995,2,1,2,425,SL,6
1995,2,1,2,405,FL,14
1995,2,1,2,406,SL,14
1995,2,1,2,380,FL,15
1995,2,1,2,402,TL,4
1995,2,1,2,415,SL,2
1995,2,1,2,403,TL,9
1995,2,1,2,413,FL,7
1995,2,1,2,322,SL,7
1995,2,1,2,403,SL,14
1995,2,1,2,439,TL,1
1995,2,1,2,409,TL,17
1995,2,1,2,411,SL,8
1995,2,1,2,425,FL,15
1995,2,1,2,459,FL,5
1995,2,1,2,447,TL,13
1995,2,1,2,364,SL,18
1995,2,1,2,444,FL,9
1995,2,1,2,421,FL,12
1995,2,1,2,459,FL,7
1995,2,1,2,368,SL,1
1995,2,1,2,365,SL,17
1995,2,1,2,383,SL,12
1995,2,1,2,410,TL,6
1995,2,1,2,422,FL,4
1995,2,1,2,396,SL,15
1995,2,1,2,382,FL,17
1995,2,1,2,426,SL,17
1995,2,1,2,386,FL,3
1995,2,1,2,337,FL,16
1995,2,1,2,426,FL,3
1995,2,1,2,419,TL,1
